APR Percentage,Bankruptcy Fore Closure Check,Current Mortgage Balance,Estimated Credit Score Band Id,Estimated Credit Score,Estimated Property Value,Is Best Offer,Lender Id,Lender Rank,Loan Amount Requested,OfferId,Origination Fee,Other Lender Fees,Property City,Property State,Property Type Id,Property Zip Code,QuestionerId,Requested Loan Type Id,State,Status ,Veteran
,no,85000,,3,135000,,,,85000,8ba86229-207f-4d8c-96e9-bc816744a939,,,Seminole,FL,2,33772,b512e92a-468e-47e0-9f67-7137ebb360d3,2,,2,Yes
,no,85000,,3,135000,,,,85000,2c8631b4-2728-44c8-9c82-2bf8350ff188,,,Seminole,FL,2,33772,b512e92a-468e-47e0-9f67-7137ebb360d3,2,,2,Yes
,bankruptcy,75000,,5,80000,,,,60000,58323676-3cbc-482b-aa9f-bfa620d2d0f5,,,Lansing,MI,1,48906,78b22611-cfaa-4808-a3e0-840068a7968b,2,,2,No
,bankruptcy,75000,,5,80000,,,,60000,3ba800ef-5a15-49c3-aed1-14a0a89c8877,,,Lansing,MI,1,48906,78b22611-cfaa-4808-a3e0-840068a7968b,2,,2,No
,bankruptcy,60000,,5,80000,,,,60000,58323676-3cbc-482b-aa9f-bfa620d2d0f5,,,Lansing,MI,1,48906,78b22611-cfaa-4808-a3e0-840068a7968b,2,,2,No
,bankruptcy,60000,,5,80000,,,,60000,3ba800ef-5a15-49c3-aed1-14a0a89c8877,,,Lansing,MI,1,48906,78b22611-cfaa-4808-a3e0-840068a7968b,2,,2,No
,bankruptcy,85000,,9,120000,,,,95999,850a3336-090f-4a85-95f8-8c47f6ebb6e3,,,Evansville,IN,1,47714,1751f835-dcb4-478a-8747-bdbdf6f53dc5,2,,1,No
,no,70000,,3,180000,,,,70000,cd1d39f6-6cd9-4073-abef-e3d7ddce7e94,,,Manteo,NC,2,27954,d15b2f38-4122-4cde-9fa8-d6522d819260,2,,2,No
,no,170000,,7,180000,,,,170000,f653729d-8be4-4b76-b34f-033e70ad14ea,,,Wichita,KS,1,67215,9cdc130c-d536-4402-a44f-730b46e164e4,2,,1,No
,no,85000,,3,750000,,,,385000,7a65a9ed-8df8-4db8-a334-bf6f68c54379,,,Huntington Beach,CA,1,92647,0a104f7a-6e46-4518-b0dc-0aefb57be425,2,,2,No
,no,115000,,3,180000,,,,115000,f029213b-3cb7-4f1d-a2e4-f88c6a43996f,,,Minneapolis,MN,1,55443,3e0dad54-4859-44e2-9ab7-9cf46778a568,2,,2,No
,no,135000,,3,375000,,,,135000,d9a5d099-c438-43c3-b514-dd9682d27945,,,Charlotte,MI,1,48813,3c78acd8-94fb-4725-af76-0bb18ffa5533,2,,2,No
,no,135000,,3,375000,,,,135000,f56ffa80-d437-4d72-a3e5-e5723b2f5ee7,,,Charlotte,MI,1,48813,3c78acd8-94fb-4725-af76-0bb18ffa5533,2,,2,No
,no,135000,,3,375000,,,,135000,8883063f-2815-4017-9d8d-b4b865aca94f,,,Charlotte,MI,1,48813,3c78acd8-94fb-4725-af76-0bb18ffa5533,2,,2,No
,no,135000,,3,375000,,,,135000,ad177dd8-1e4a-43d7-aace-133df6cff534,,,Charlotte,MI,1,48813,3c78acd8-94fb-4725-af76-0bb18ffa5533,2,,2,No
,no,135000,,3,375000,,,,135000,1a73c1ea-c16f-4c18-9f8a-2a9eb16a996a,,,Charlotte,MI,1,48813,3c78acd8-94fb-4725-af76-0bb18ffa5533,2,,2,No
,no,65000,,3,275000,,,,110000,a4a3e53d-4369-4564-9886-166f12c43e02,,,Napa,CA,1,94559,d07c02f5-d4cd-4d0a-a67e-29493feac14f,2,,2,No
,no,65000,,3,275000,,,,110000,570aa357-d127-4a9b-95d0-209814c0474e,,,Napa,CA,1,94559,d07c02f5-d4cd-4d0a-a67e-29493feac14f,2,,2,No
,no,65000,,3,275000,,,,110000,d660397e-063b-4db5-a5db-b091282d22c6,,,Napa,CA,1,94559,d07c02f5-d4cd-4d0a-a67e-29493feac14f,2,,2,No
,no,65000,,3,275000,,,,110000,d4e55be8-24a7-4374-a11e-070cdc19afb7,,,Napa,CA,1,94559,d07c02f5-d4cd-4d0a-a67e-29493feac14f,2,,2,No
,no,65000,,3,275000,,,,110000,68cabd25-4368-42a8-8f47-7de94ea6f29d,,,Napa,CA,1,94559,d07c02f5-d4cd-4d0a-a67e-29493feac14f,2,,2,No
,no,90000,,3,275000,,,,110000,a4a3e53d-4369-4564-9886-166f12c43e02,,,Napa,CA,1,94559,d07c02f5-d4cd-4d0a-a67e-29493feac14f,2,,2,No
,no,90000,,3,275000,,,,110000,570aa357-d127-4a9b-95d0-209814c0474e,,,Napa,CA,1,94559,d07c02f5-d4cd-4d0a-a67e-29493feac14f,2,,2,No
,no,90000,,3,275000,,,,110000,d660397e-063b-4db5-a5db-b091282d22c6,,,Napa,CA,1,94559,d07c02f5-d4cd-4d0a-a67e-29493feac14f,2,,2,No
,no,90000,,3,275000,,,,110000,d4e55be8-24a7-4374-a11e-070cdc19afb7,,,Napa,CA,1,94559,d07c02f5-d4cd-4d0a-a67e-29493feac14f,2,,2,No
,no,90000,,3,275000,,,,110000,68cabd25-4368-42a8-8f47-7de94ea6f29d,,,Napa,CA,1,94559,d07c02f5-d4cd-4d0a-a67e-29493feac14f,2,,2,No
,no,60000,,3,300000,,,,95000,174f9af8-a1d4-4615-b797-7633ac2ab864,,,Overland Park,KS,1,66207,91bcb0b5-4378-499b-9927-fff33f32450e,2,,2,No
,bankruptcy,200000,,3,375000,,,,200000,eead3f0f-cbd7-4e6c-bba7-435e24ac3ae9,,,Fort Lauderdale,FL,1,33323,1412f7f4-229d-4d41-baa9-56d2ea9ef738,2,,2,No
,bankruptcy,200000,,3,375000,,,,200000,4c48b585-2abc-45ff-ab3a-9c2f86313f0a,,,Fort Lauderdale,FL,1,33323,1412f7f4-229d-4d41-baa9-56d2ea9ef738,2,,2,No
,bankruptcy,200000,,3,375000,,,,200000,a193b7c5-1375-4b61-be54-20c9b59aedb3,,,Fort Lauderdale,FL,1,33323,1412f7f4-229d-4d41-baa9-56d2ea9ef738,2,,2,No
,no,100000,,5,225000,,,,135000,8eae854d-b2a8-4384-bbad-01959d641d0c,,,Denton,TX,1,76210,e62e0253-3af7-477c-8212-f3716ec0488b,2,,1,Yes
,no,100000,,5,225000,,,,135000,b588a841-2098-4015-91bb-8df962269348,,,Denton,TX,1,76210,e62e0253-3af7-477c-8212-f3716ec0488b,2,,1,Yes
,no,60000,,5,225000,,,,135000,8eae854d-b2a8-4384-bbad-01959d641d0c,,,Denton,TX,1,76210,e62e0253-3af7-477c-8212-f3716ec0488b,2,,1,Yes
,no,60000,,5,225000,,,,135000,b588a841-2098-4015-91bb-8df962269348,,,Denton,TX,1,76210,e62e0253-3af7-477c-8212-f3716ec0488b,2,,1,Yes
,no,135000,,3,225000,,,,175000,a646b06f-ce81-4b59-9931-7fa43e6290e3,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,135000,,3,225000,,,,175000,2d2777da-6595-4eca-84b1-4da83695a850,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,135000,,3,225000,,,,175000,17d1dc54-8360-43e3-b47b-212729dda955,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,135000,,3,225000,,,,175000,271ae46d-e942-46fa-8873-6c77f6ab4780,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,135000,,3,225000,,,,175000,719dea88-826e-40f8-9de9-0e7ecb7ea3a1,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,135000,,3,225000,,,,175000,3ef400b8-c2df-48fe-af46-29b1a16b2f6f,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,135000,,3,225000,,,,175000,18e2c0fd-b212-49e7-aa00-b84c3335c910,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,135000,,3,225000,,,,175000,0081079d-5682-4b8e-b7f9-7d27e1e2fc58,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,135000,,3,225000,,,,175000,98153b33-12e5-4892-9457-21486d60f919,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,135000,,3,225000,,,,175000,5fb386c8-f967-4b34-9aaf-2cffe489038f,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,135000,,3,225000,,,,175000,6256e8c5-7f1b-42c2-aeff-e9309c61df52,,,Avondale,AZ,1,85323,ec7f2aae-346b-443c-b682-8d8c765ac7dd,2,,2,No
,no,70000,,3,250000,,,,70000,2cd4de93-4985-4272-9d31-c3e9fba326cb,,,Fort Lauderdale,FL,5,33311,b7edac98-0069-449e-be40-ecdf4e49a666,2,,2,No
,no,325000,,5,550000,,,,325000,735f42c8-633e-4e87-977c-4dc7c6c43742,,,North Bend,WA,1,98045,ea3251d0-b845-40e4-b706-449f99069600,2,,1,No
,no,325000,,5,550000,,,,325000,735f42c8-633e-4e87-977c-4dc7c6c43742,,,North Bend,WA,1,98045,ea3251d0-b845-40e4-b706-449f99069600,2,,1,No
,bankruptcy,150000,,5,325000,,,,220000,58a712f6-1319-4cb0-8261-c59137ea864e,,,Brookfield,WI,1,53045,80ff58b0-8a9b-49b2-b82b-0a124cb06b0e,2,,1,No
,no,150000,,9,475000,,,,240000,5477b9a7-a916-49dd-a0d6-ebc65fe7a2d5,,,Antioch,CA,1,94509,9fcdb1fc-7912-4a1a-93cc-75d5ed732fc8,2,,1,No
